LibraryElement, DeclaringType, EntityKind, Count, Status
TailwindPOS.ucNumbersPad.cb_Number9_Click,TailwindPOS.ucNumbersPad,Method,1,1
TailwindPOS.ucNumbersPad.cb_Back_Click,TailwindPOS.ucNumbersPad,Method,1,1
TailwindPOS.ucNumbersPad.cb_Number4_Click,TailwindPOS.ucNumbersPad,Method,1,1
TailwindPOS.ucNumbersPad.cb_Number5_Click,TailwindPOS.ucNumbersPad,Method,1,1
TailwindPOS.ucNumbersPad.cb_Number6_Click,TailwindPOS.ucNumbersPad,Method,1,1
TailwindPOS.ucNumbersPad.cb_Clear_Click,TailwindPOS.ucNumbersPad,Method,1,1
TailwindPOS.ucNumbersPad.cb_Number1_Click,TailwindPOS.ucNumbersPad,Method,1,1
TailwindPOS.ucNumbersPad.cb_Number2_Click,TailwindPOS.ucNumbersPad,Method,1,1
TailwindPOS.ucNumbersPad.cb_Number3_Click,TailwindPOS.ucNumbersPad,Method,1,1
TailwindPOS.ucNumbersPad.cb_Enter_Click,TailwindPOS.ucNumbersPad,Method,1,1
TailwindPOS.ucNumbersPad.cb_Number0_Click,TailwindPOS.ucNumbersPad,Method,1,1
TailwindPOS.ucNumbersPad.cb_Number00_Click,TailwindPOS.ucNumbersPad,Method,1,1
TailwindPOS.ucNumbersPad.HighlightValueOn,TailwindPOS.ucNumbersPad,Method,2,1
TailwindPOS.ucNumbersPad.HighlightValueOff,TailwindPOS.ucNumbersPad,Method,2,1
TailwindPOS.ucNumbersPad.cb_Period_Click,TailwindPOS.ucNumbersPad,Method,1,1
TailwindPOS.ucNumbersPad.txtAmount_KeyPress,TailwindPOS.ucNumbersPad,Method,1,1
TailwindPOS.ucNumbersPad.InitializeComponent,TailwindPOS.ucNumbersPad,Method,2,1
TailwindPOS.ucNumbersPad..ctor,TailwindPOS.ucNumbersPad,Method,3,1
TailwindPOS.ucNumbersPad,TailwindPOS.ucNumbersPad,Type,7,1
TailwindPOS.ucNumbersPad.OnNumber,TailwindPOS.ucNumbersPad,Event,27,1
TailwindPOS.ucNumbersPad.OnBack,TailwindPOS.ucNumbersPad,Event,3,1
TailwindPOS.ucNumbersPad.OnEnterEvent,TailwindPOS.ucNumbersPad,Event,5,1
TailwindPOS.ucNumbersPad.Value,TailwindPOS.ucNumbersPad,Property,9,1
TailwindPOS.ucNumbersPad.ShowChars,TailwindPOS.ucNumbersPad,Property,2,1
TailwindPOS.ucNumbersPad.ShowEnter,TailwindPOS.ucNumbersPad,Property,1,1
TailwindPOS.ucNumbersPad.ShowValue,TailwindPOS.ucNumbersPad,Property,1,1
TailwindPOS.frmPayment.AddPayment.amount,TailwindPOS.frmPayment.AddPayment.amount,Type,3,1
TailwindPOS.ucLettersPad,TailwindPOS.ucLettersPad,Type,3,1
TailwindPOS.ucLettersPad.UserControl_Initialize,TailwindPOS.ucLettersPad,Method,2,1
TailwindPOS.ucLettersPad.cb_Period_Click,TailwindPOS.ucLettersPad,Method,1,1
TailwindPOS.ucLettersPad.cb_Enter_Click,TailwindPOS.ucLettersPad,Method,1,1
TailwindPOS.ucLettersPad.cb_Number3_Click,TailwindPOS.ucLettersPad,Method,1,1
TailwindPOS.ucLettersPad.cb_Number2_Click,TailwindPOS.ucLettersPad,Method,1,1
TailwindPOS.ucLettersPad.cb_Number1_Click,TailwindPOS.ucLettersPad,Method,1,1
TailwindPOS.ucLettersPad.cb_Number6_Click,TailwindPOS.ucLettersPad,Method,1,1
TailwindPOS.ucLettersPad.cb_Number5_Click,TailwindPOS.ucLettersPad,Method,1,1
TailwindPOS.ucLettersPad.cb_Number4_Click,TailwindPOS.ucLettersPad,Method,1,1
TailwindPOS.ucLettersPad.cb_Number9_Click,TailwindPOS.ucLettersPad,Method,1,1
TailwindPOS.ucLettersPad.cb_Number8_Click,TailwindPOS.ucLettersPad,Method,1,1
TailwindPOS.ucLettersPad.cb_Number7_Click,TailwindPOS.ucLettersPad,Method,1,1
TailwindPOS.ucLettersPad.cbLetterC_Click,TailwindPOS.ucLettersPad,Method,1,1
TailwindPOS.ucLettersPad.cbLetterB_Click,TailwindPOS.ucLettersPad,Method,1,1
TailwindPOS.ucLettersPad.cbLetterA_Click,TailwindPOS.ucLettersPad,Method,1,1
TailwindPOS.ucLettersPad..ctor,TailwindPOS.ucLettersPad,Method,1,1
TailwindPOS.ucLettersPad.InitializeComponent,TailwindPOS.ucLettersPad,Method,2,1
TailwindPOS.ucLettersPad.ReLoadForm,TailwindPOS.ucLettersPad,Method,2,1
